Date,Close,DateStr
2024-08-30,4711.10595703125,2024-08-30
2024-09-02,4733.97509765625,2024-09-02
2024-09-03,4733.97509765625,2024-09-03
2024-09-04,4665.36669921875,2024-09-04
2024-09-05,4711.10595703125,2024-09-05
2024-09-06,4779.7138671875,2024-09-06
2024-09-09,4733.97509765625,2024-09-09
2024-09-10,4802.58349609375,2024-09-10
2024-09-11,4733.97509765625,2024-09-11
2024-09-12,4733.97509765625,2024-09-12
2024-09-13,4848.322265625,2024-09-13
2024-09-17,4848.322265625,2024-09-17
2024-09-18,4894.06103515625,2024-09-18
2024-09-19,4939.7998046875,2024-09-19
2024-09-20,4916.9306640625,2024-09-20
2024-09-23,5031.27783203125,2024-09-23
2024-09-24,5054.1474609375,2024-09-24
2024-09-25,4871.19189453125,2024-09-25
2024-09-26,4619.6279296875,2024-09-26
2024-09-27,4665.36669921875,2024-09-27
2024-09-30,4528.14990234375,2024-09-30
2024-10-01,4642.49755859375,2024-10-01
2024-10-02,4519.00244140625,2024-10-02
2024-10-03,4500.70654296875,2024-10-03
2024-10-04,4445.8203125,2024-10-04
2024-10-07,4409.22900390625,2024-10-07
2024-10-08,4573.88916015625,2024-10-08
2024-10-09,4509.8544921875,2024-10-09
2024-10-10,4445.8203125,2024-10-10
2024-10-11,4482.4111328125,2024-10-11
2024-10-14,4482.4111328125,2024-10-14
2024-10-15,4500.70654296875,2024-10-15
2024-10-16,4528.14990234375,2024-10-16
2024-10-17,4555.59375,2024-10-17
2024-10-18,4546.44580078125,2024-10-18
2024-10-21,4564.7412109375,2024-10-21
2024-10-22,4482.4111328125,2024-10-22
2024-10-23,4445.8203125,2024-10-23
2024-10-24,4409.22900390625,2024-10-24
2024-10-25,4363.490234375,2024-10-25
2024-10-28,4354.34228515625,2024-10-28
2024-10-29,4299.4560546875,2024-10-29
2024-10-30,4308.603515625,2024-10-30
2024-10-31,4390.93359375,2024-10-31
2024-11-01,4299.4560546875,2024-11-01
2024-11-04,4317.7509765625,2024-11-04
2024-11-05,4308.603515625,2024-11-05
2024-11-06,4207.9775390625,2024-11-06
2024-11-07,4162.2392578125,2024-11-07
2024-11-08,4134.7958984375,2024-11-08
2024-11-11,4079.90869140625,2024-11-11
2024-11-12,4116.5,2024-11-12
2024-11-13,4189.68212890625,2024-11-13
2024-11-14,4116.5,2024-11-14
2024-11-15,4089.056640625,2024-11-15
2024-11-18,3979.28369140625,2024-11-18
2024-11-19,3988.43115234375,2024-11-19
2024-11-20,3960.98779296875,2024-11-20
2024-11-21,3887.805419921875,2024-11-21
2024-11-22,4025.022216796875,2024-11-22
2024-11-25,4089.056640625,2024-11-25
2024-11-26,4025.022216796875,2024-11-26
2024-11-28,3960.98779296875,2024-11-28
2024-11-29,3887.805419921875,2024-11-29
2024-12-02,3814.623291015625,2024-12-02
2024-12-03,3878.657958984375,2024-12-03
2024-12-04,3979.28369140625,2024-12-04
2024-12-05,3896.953369140625,2024-12-05
2024-12-06,3942.6923828125,2024-12-06
2024-12-09,4015.874267578125,2024-12-09
2024-12-10,3988.43115234375,2024-12-10
2024-12-11,4006.726806640625,2024-12-11
2024-12-12,3896.953369140625,2024-12-12
2024-12-13,3814.623291015625,2024-12-13
2024-12-16,3887.805419921875,2024-12-16
2024-12-17,3796.327880859375,2024-12-17
2024-12-18,3796.327880859375,2024-12-18
2024-12-19,3741.441162109375,2024-12-19
2024-12-20,3713.997802734375,2024-12-20
2024-12-23,3851.214599609375,2024-12-23
2024-12-24,3842.06689453125,2024-12-24
2024-12-27,3875.147216796875,2024-12-27
2024-12-30,3856.244140625,2024-12-30
2025-01-02,3979.11474609375,2025-01-02
2025-01-03,3922.4052734375,2025-01-03
2025-01-06,3875.147216796875,2025-01-06
2025-01-07,3808.986328125,2025-01-07
2025-01-08,3856.244140625,2025-01-08
2025-01-09,3808.986328125,2025-01-09
2025-01-10,3790.0830078125,2025-01-10
2025-01-13,3638.85791015625,2025-01-13
2025-01-14,3591.599853515625,2025-01-14
2025-01-15,3865.69580078125,2025-01-15
2025-01-16,3931.856689453125,2025-01-16
2025-01-17,3865.69580078125,2025-01-17
2025-01-20,3988.566162109375,2025-01-20
2025-01-21,4026.37255859375,2025-01-21
2025-01-22,4026.37255859375,2025-01-22
2025-01-23,4064.178955078125,2025-01-23
2025-01-24,3960.21142578125,2025-01-24
2025-01-30,3894.050537109375,2025-01-30
2025-01-31,3988.566162109375,2025-01-31
2025-02-03,4016.9208984375,2025-02-03
2025-02-04,4026.37255859375,2025-02-04
2025-02-05,3912.95361328125,2025-02-05
2025-02-06,3752.27685546875,2025-02-06
2025-02-07,3808.986328125,2025-02-07
2025-02-10,3752.27685546875,2025-02-10
2025-02-11,3790.0830078125,2025-02-11
2025-02-12,3808.986328125,2025-02-12
2025-02-13,3771.179931640625,2025-02-13
2025-02-14,3648.309326171875,2025-02-14
2025-02-17,3808.986328125,2025-02-17
2025-02-18,3922.4052734375,2025-02-18
2025-02-19,3799.53466796875,2025-02-19
2025-02-20,3695.5673828125,2025-02-20
2025-02-21,3676.6640625,2025-02-21
2025-02-24,3705.018798828125,2025-02-24
2025-02-25,3591.599853515625,2025-02-25
2025-02-26,3610.503173828125,2025-02-26
2025-02-27,3430.923095703125,2025-02-27
2025-02-28,3175.73046875,2025-02-28
2025-03-03,3468.7294921875,2025-03-03
2025-03-04,3468.7294921875,2025-03-04
2025-03-05,3629.40625,2025-03-05
2025-03-06,3733.37353515625,2025-03-06
2025-03-07,3601.051513671875,2025-03-07
2025-03-10,3553.793701171875,2025-03-10
2025-03-11,3582.1484375,2025-03-11
2025-03-12,3676.6640625,2025-03-12
2025-03-13,3591.599853515625,2025-03-13
2025-03-14,3544.342041015625,2025-03-14
2025-03-17,3619.95458984375,2025-03-17
2025-03-18,3478.180908203125,2025-03-18
2025-03-19,3506.53564453125,2025-03-19
2025-03-20,3459.27783203125,2025-03-20
2025-03-21,3497.084228515625,2025-03-21
2025-03-24,3412.02001953125,2025-03-24
2025-03-25,3591.599853515625,2025-03-25
2025-03-26,3780.631591796875,2025-03-26
2025-03-27,3827.889404296875,2025-03-27
2025-04-08,3440.374755859375,2025-04-08
2025-04-09,3430.923095703125,2025-04-09
2025-04-10,3591.599853515625,2025-04-10
2025-04-11,3630.0,2025-04-11
2025-04-14,3690.0,2025-04-14
2025-04-15,3690.0,2025-04-15
2025-04-16,3650.0,2025-04-16
2025-04-17,3640.0,2025-04-17
2025-04-21,3620.0,2025-04-21
2025-04-22,3630.0,2025-04-22
2025-04-23,3760.0,2025-04-23
2025-04-24,3730.0,2025-04-24
2025-04-25,3740.0,2025-04-25
2025-04-28,3840.0,2025-04-28
2025-04-29,3850.0,2025-04-29
2025-04-30,3850.0,2025-04-30
2025-05-02,3880.0,2025-05-02
2025-05-05,3860.0,2025-05-05
2025-05-06,3880.0,2025-05-06
2025-05-07,3910.0,2025-05-07
2025-05-08,3790.0,2025-05-08
2025-05-09,3840.0,2025-05-09
2025-05-14,4090.0,2025-05-14
2025-05-15,4270.0,2025-05-15
2025-05-16,4250.0,2025-05-16
2025-05-19,4230.0,2025-05-19
2025-05-20,4210.0,2025-05-20
2025-05-21,4260.0,2025-05-21
2025-05-22,4300.0,2025-05-22
2025-05-23,4350.0,2025-05-23
2025-05-26,4320.0,2025-05-26
2025-05-27,4370.0,2025-05-27
2025-05-28,4450.0,2025-05-28
2025-06-02,4200.0,2025-06-02
2025-06-03,4200.0,2025-06-03
2025-06-04,4080.0,2025-06-04
2025-06-05,4100.0,2025-06-05
2025-06-10,4150.0,2025-06-10
2025-06-11,4070.0,2025-06-11
2025-06-12,4070.0,2025-06-12
2025-06-13,4000.0,2025-06-13
2025-06-16,3990.0,2025-06-16
2025-06-17,3960.0,2025-06-17
2025-06-18,3940.0,2025-06-18
2025-06-19,3800.0,2025-06-19
2025-06-20,3790.0,2025-06-20
2025-06-23,3720.0,2025-06-23
2025-06-24,3780.0,2025-06-24
2025-06-25,3760.0,2025-06-25
2025-06-26,3830.0,2025-06-26
2025-06-30,3740.0,2025-06-30
2025-07-01,3700.0,2025-07-01
2025-07-02,3680.0,2025-07-02
2025-07-03,3680.0,2025-07-03
2025-07-04,3670.0,2025-07-04
2025-07-07,3700.0,2025-07-07
2025-07-08,3670.0,2025-07-08
2025-07-09,3680.0,2025-07-09
2025-07-10,3870.0,2025-07-10
2025-07-11,3880.0,2025-07-11
2025-07-14,3780.0,2025-07-14
2025-07-15,3880.0,2025-07-15
2025-07-16,3880.0,2025-07-16
2025-07-17,3890.0,2025-07-17
2025-07-18,3860.0,2025-07-18
2025-07-21,3830.0,2025-07-21
2025-07-22,3840.0,2025-07-22
2025-07-23,3800.0,2025-07-23
2025-07-24,3950.0,2025-07-24
2025-07-25,3880.0,2025-07-25
2025-07-28,3940.0,2025-07-28
2025-07-29,3920.0,2025-07-29
2025-07-30,3780.0,2025-07-30
2025-07-31,3710.0,2025-07-31
2025-08-01,3740.0,2025-08-01
2025-08-04,3710.0,2025-08-04
2025-08-05,3740.0,2025-08-05
2025-08-06,3710.0,2025-08-06
2025-08-07,3710.0,2025-08-07
2025-08-08,3700.0,2025-08-08
2025-08-11,3810.0,2025-08-11
2025-08-12,4050.0,2025-08-12
2025-08-13,4080.0,2025-08-13
2025-08-14,4060.0,2025-08-14
2025-08-15,4120.0,2025-08-15
2025-08-19,4040.0,2025-08-19
2025-08-20,4150.0,2025-08-20
2025-08-21,4150.0,2025-08-21
2025-08-22,4100.0,2025-08-22
2025-08-25,4210.0,2025-08-25
2025-08-26,4170.0,2025-08-26
2025-08-27,4130.0,2025-08-27
2025-08-28,4140.0,2025-08-28
2025-08-29,4050.0,2025-08-29
2025-09-01,3980.0,2025-09-01
2025-09-02,3960.0,2025-09-02
2025-09-03,4030.0,2025-09-03
2025-09-04,4000.0,2025-09-04
2025-09-08,3900.0,2025-09-08
2025-09-09,3790.0,2025-09-09
2025-09-10,3880.0,2025-09-10
2025-09-11,4080.0,2025-09-11
2025-09-12,4180.0,2025-09-12
2025-09-15,4140.0,2025-09-15
2025-09-16,4130.0,2025-09-16
2025-09-17,4220.0,2025-09-17
2025-09-18,4250.0,2025-09-18
2025-09-19,4250.0,2025-09-19
2025-09-22,4160.0,2025-09-22
2025-09-23,4140.0,2025-09-23
2025-09-24,4170.0,2025-09-24
2025-09-25,4070.0,2025-09-25
2025-09-26,4040.0,2025-09-26
2025-09-29,3980.0,2025-09-29
2025-09-30,3900.0,2025-09-30
2025-10-01,3810.0,2025-10-01
2025-10-02,3710.0,2025-10-02
2025-10-03,3690.0,2025-10-03
2025-10-06,3660.0,2025-10-06
2025-10-07,3710.0,2025-10-07
2025-10-08,3720.0,2025-10-08
2025-10-09,3860.0,2025-10-09
2025-10-10,3730.0,2025-10-10
2025-10-13,3660.0,2025-10-13
2025-10-14,3550.0,2025-10-14
2025-10-15,3500.0,2025-10-15
2025-10-16,3530.0,2025-10-16
2025-10-17,3500.0,2025-10-17
2025-10-20,3680.0,2025-10-20
2025-10-21,3760.0,2025-10-21
2025-10-22,3700.0,2025-10-22
2025-10-23,3820.0,2025-10-23
2025-10-24,3850.0,2025-10-24
2025-10-27,3860.0,2025-10-27
2025-10-28,3850.0,2025-10-28
2025-10-29,3890.0,2025-10-29
2025-10-30,3910.0,2025-10-30
2025-10-31,3980.0,2025-10-31
2025-11-03,4040.0,2025-11-03
2025-11-04,3970.0,2025-11-04
2025-11-05,3980.0,2025-11-05
2025-11-06,4000.0,2025-11-06
2025-11-07,3980.0,2025-11-07
2025-11-10,3930.0,2025-11-10
2025-11-11,3890.0,2025-11-11
2025-11-12,3900.0,2025-11-12
2025-11-13,3870.0,2025-11-13
2025-11-14,3900.0,2025-11-14
2025-11-17,3940.0,2025-11-17
2025-11-18,3970.0,2025-11-18
2025-11-19,4000.0,2025-11-19
2025-11-20,3990.0,2025-11-20
2025-11-21,3960.0,2025-11-21
2025-11-24,3980.0,2025-11-24
2025-11-25,3830.0,2025-11-25
2025-11-26,3790.0,2025-11-26
2025-11-27,3740.0,2025-11-27
2025-11-28,3680.0,2025-11-28
2025-12-01,3670.0,2025-12-01
2025-12-02,3710.0,2025-12-02
2025-12-03,3660.0,2025-12-03
2025-12-04,3690.0,2025-12-04
2025-12-05,3650.0,2025-12-05
2025-12-08,3670.0,2025-12-08
2025-12-09,3680.0,2025-12-09
2025-12-10,3660.0,2025-12-10
2025-12-11,3620.0,2025-12-11
